BARANGAY,CRIME_TYPE,YEAR,MONTH
ALAMBRE,HOMICIDE,2021,5
76-A (BUCANA),HOMICIDE, 2021 ,4
BARANGAY 11-A,HOMICIDE,2021,5
SAN ISIDRO,HOMICIDE,2021,4
VICENTE HIZON SR.,HOMICIDE,2021,1
MULIG,HOMICIDE,2021,12
BARANGAY 11-A,HOMICIDE,2021,2
MALAGOS,HOMICIDE, 2021 ,10
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",HOMICIDE,2021, 12 
SALAPAWAN,homicide,2021,1
BARANGAY 11-A,HOMICIDE,2021,12
SALUMAY,Homicide,2021,2
BUHANGIN (POB.),HOMICIDE,2021,3
PANACAN,PHYSICAL INJURIES,2021,4
BARANGAY 14-B,PHYSICAL INJURIES,2021,7
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",PHYSICAL INJURIES, 2021 ,11
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",PHYSICAL INJURIES,2021,3
WANGAN,PHYSICAL INJURIES,2021,4
LUBOGAN,PHYSICAL INJURIES,2021,9
CAWAYAN,PHYSICAL INJURIES,2021,12
" MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)  ",PHYSICAL INJURIES,2021,9
MAPI-ILA,PHYSICAL INJURIES,2021,12
 ALAMBRE  ,Physical Injuries,2021,12
TAPAK,PHYSICAL INJURIES,2021, 5 
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",PHYSICAL INJURIES, 2021 ,2
 ILANG  ,Physical Injuries,2021,3
MALABOG,physical injuries,2021,6
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",PHYSICAL INJURIES,2021,2
BANGKAS HEIGHTS,PHYSICAL INJURIES, 2021 ,4
BARANGAY 14-B,Physical Injuries,2021,2
" BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)  ",PHYSICAL INJURIES,2021,10
 BAO JOAQUIN  ,PHYSICAL INJURIES,2021,9
 MARAPANGI  ,PHYSICAL INJURIES,2021,8
TACUNAN,PHYSICAL INJURIES,2021,4
 MULIG  ,PHYSICAL INJURIES,2021,10
" MATINA APLAYA (BRGY UNDER PS 15, DCPO)  ",PHYSICAL INJURIES,2021, 11 
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",PHYSICAL INJURIES,2021,4
LACSON,PHYSICAL INJURIES,2021,1
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",PHYSICAL INJURIES,2021,12
" MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)  ",PHYSICAL INJURIES,2021,8
BANTOL,PHYSICAL INJURIES,2021,5
BUDA,PHYSICAL INJURIES,2021,10
MARILOG,PHYSICAL INJURIES,2021,9
LIZADA,PHYSICAL INJURIES,2021,5
RIVERSIDE,PHYSICAL INJURIES, 2021 ,3
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",PHYSICAL INJURIES,2021,2
VICENTE HIZON SR.,PHYSICAL INJURIES,2021, 3 
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",PHYSICAL INJURIES, 2021 ,10
 SIRIB  ,PHYSICAL INJURIES,2021,11
TIGATTO,physical injuries,2021, 2 
SALAPAWAN,PHYSICAL INJURIES,2021, 4 
 BARANGAY 17-B  ,PHYSICAL INJURIES,2021, 6 
 BARANGAY 39-D (POB.)  ,PHYSICAL INJURIES,2021,7
BARANGAY 18-B,physical injuries,2021,10
MAGSAYSAY,PHYSICAL INJURIES,2021,3
ALFONSO ANGLIONGTO SR,PHYSICAL INJURIES, 2021 ,9
PAMPANGA,PHYSICAL INJURIES,2021,1
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",PHYSICAL INJURIES, 2021 ,9
SALAPAWAN,PHYSICAL INJURIES,2021,2
EDEN,PHYSICAL INJURIES,2021,8
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",PHYSICAL INJURIES,2021,2
BUNAWAN (POB.),PHYSICAL INJURIES, 2021 ,3
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",PHYSICAL INJURIES,2021, 1 
 BUDA  ,PHYSICAL INJURIES,2021,8
" CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)  ",PHYSICAL INJURIES,2021,4
MULIG,Physical Injuries,2021, 4 
TACUNAN,PHYSICAL INJURIES, 2021 ,11
 BARANGAY 2-A (POB.)  ,PHYSICAL INJURIES,2021,10
BARANGAY 13-B,PHYSICAL INJURIES,2021,3
TALOMO (POB.),PHYSICAL INJURIES,2021,4
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",PHYSICAL INJURIES,2021,12
BARANGAY 5-A (POB.),PHYSICAL INJURIES,2021, 9 
" ACACIA (BRGY UNDER PS 13, DCPO)  ",PHYSICAL INJURIES,2021,12
SIRIB,RAPE,2021,2
SAN ISIDRO,RAPE, 2021 ,11
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",RAPE,2021,6
 GUMITAN  ,RAPE, 2021 ,9
FATIMA (BENOWANG),RAPE,2021, 8 
BANGKAS HEIGHTS,RAPE,2021,7
LACSON,RAPE,2021,10
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",RAPE,2021, 9 
CATALUNAN GRANDE,RAPE,2021,5
BARANGAY 18-B,RAPE,2021,9
BARANGAY 26-C,RAPE,2021,11
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2021,6
 BAGO OSHIRO  ,RAPE,2021,8
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",RAPE,2021,7
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2021,1
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",rape,2021,9
 MARILOG  ,RAPE,2021,12
MATINA PANGI,RAPE,2021,7
"INDANGAN (BRGY UNDER PS 13, DCPO)",RAPE,2021,8
LASANG,rape,2021,11
 74-A (MATINA CROSSING)  ,RAPE,2021,4
TACUNAN,RAPE,2021,1
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",Rape,2021,9
" TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)  ",RAPE,2021,12
BARANGAY 32-D,RAPE,2021,2
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2021,12
BINUGAO,RAPE,2021,1
PANACAN,RAPE,2021,11
BARANGAY 2-A (POB.),RAPE,2021,3
TIGATTO,RAPE,2021,7
LASANG,RAPE,2021,7
CARMEN,RAPE,2021,12
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",RAPE,2021,8
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",rape,2021,9
LAMANAN,RAPE,2021,9
LIZADA,rape,2021,4
BARANGAY 37-D,RAPE, 2021 , 4 
EDEN,RAPE,2021,4
MARILOG,RAPE,2021,12
 BARANGAY 18-B  ,RAPE,2021,7
DALIAO,RAPE,2021,10
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",RAPE,2021,9
"ACACIA (BRGY UNDER PS 13, DCPO)",RAPE,2021, 4 
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",RAPE,2021,8
BARANGAY 17-B,RAPE,2021,5
NEW VALENCIA,RAPE,2021,9
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",rape,2021,12
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",rape,2021,6
BARANGAY 38-D (OB.),RAPE,2021,5
BAGUIO PROPER,RAPE,2021,12
MAHAYAG,rape,2021,5
BINUGAO,RAPE,2021,9
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2021, 5 
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",RAPE,2021,3
 MINTAL  ,RAPE,2021,8
MALAGOS,RAPE,2021,6
BAGANIHAN,RAPE,2021,12
BARANGAY 14-B,RAPE,2021,11
BANTOL,RAPE, 2021 ,11
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",rape,2021,10
"WAAN (BRGY UNDER ps 13, DCPO)",rape,2021,12
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",RAPE, 2021 ,7
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",RAPE,2021,11
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2021,3
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",RAPE,2021,3
LIZADA,RAPE,2021,3
BARANGAY 22-C,RAPE,2021,2
BARANGAY 17-B,RAPE,2021,12
ALAMBRE,RAPE, 2021 ,7
GUMALANG,RAPE,2021,4
76-A (BUCANA),RAPE,2021,6
SASA,RAPE,2021,6
CAWAYAN,RAPE,2021,4
TIGATTO,RAPE,2021,2
SANTO NINO,RAPE,2021,3
BUHANGIN (POB.),RAPE,2021,10
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",rape,2021,7
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2021,5
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",RAPE,2021,11
BARANGAY 37-D,RAPE,2021,6
ALFONSO ANGLIONGTO SR,RAPE, 2021 ,4
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2021,3
MULIG,RAPE,2021,6
MAHAYAG,RAPE,2021,6
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",rape,2021,7
76-A (BUCANA),RAPE,2021,11
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2021,8
VICENTE HIZON SR.,RAPE,2021,8
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2021,2
 SALOY  ,rape,2021, 3 
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2021,12
BUNAWAN (POB.),RAPE,2021,12
TUNGKALAN,RAPE,2021,11
BARANGAY 28-C,RAPE,2021,3
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2021, 6 
SALAPAWAN,Rape,2021,11
SALOY,RAPE,2021,7
SUBASTA,RAPE,2021,11
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2021,1
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2021, 9 
TACUNAN,RAPE,2021,11
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",RAPE,2021, 6 
TALOMO RIVER,RAPE,2021,10
"WAAN (BRGY UNDER ps 13, DCPO)",RAPE,2021,1
40-D BOLTON ISLA,RAPE,2021,8
"WAAN (BRGY UNDER ps 13, DCPO)",RAPE,2021,12
MARILOG,RAPE,2021,2
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",RAPE,2021,12
CARMEN,RAPE,2021, 8 
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",RAPE,2021,8
BARANGAY 2-A (POB.),RAPE,2021,3
SASA,rape,2021,1
ULAS ,rape, 2021 ,7
40-D BOLTON ISLA,RAPE,2021,12
ALFONSO ANGLIONGTO SR,RAPE,2021,2
ILANG,RAPE,2021,9
SAN ISIDRO,RAPE,2021,4
TALOMO RIVER,RAPE,2021,6
 LAMANAN  ,RAPE,2021,4
BARANGAY 22-C,RAPE,2021,12
BARANGAY 22-C,RAPE,2021, 9 
BARANGAY 14-B,RAPE,2021,9
 SALAPAWAN  ,RAPE,2021, 10 
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",RAPE,2021,9
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2021,5
BARANGAY 2-A (POB.),RAPE,2021,11
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2021,3
COMMUNAL,RAPE,2021,7
ULAS ,RAPE,2021, 3 
PANALUM,RAPE,2021,9
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2021,9
TAMAYONG,RAPE,2021,11
BARANGAY 13-B,RAPE,2021,5
TAMAYONG,RAPE,2021,12
VICENTE HIZON SR.,RAPE,2021,12
PAMPANGA,RAPE,2021,12
MALAGOS,RAPE,2021,6
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",RAPE, 2021 ,10
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",RAPE,2021,7
BARANGAY 11-A,rape,2021, 12 
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2021,10
BARANGAY 3-A (POB.),RAPE,2021,8
TUNGKALAN,Rape,2021,2
40-D BOLTON ISLA,RAPE,2021,3
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",Rape,2021,10
 RIVERSIDE  ,RAPE,2021,3
"MANDUG (BRGY UNDER PS 13, DCPO)",rape,2021,1
PAQUIBATO (POB.),RAPE,2021,10
" AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)  ",RAPE,2021,9
LACSON,RAPE,2021,9
40-D BOLTON ISLA,RAPE,2021, 3 
BARANGAY 14-B,RAPE,2021,12
BANGKAS HEIGHTS,RAPE,2021, 7 
BARANGAY 22-C,RAPE,2021,3
BARANGAY 28-C,RAPE,2021,7
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",RAPE,2021,6
BARANGAY 37-D,RAPE,2021,3
 TORIL (POB.)  ,RAPE,2021, 11 
76-A BUCANA,RAPE,2021,4
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",rape,2021, 5 
" CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)  ",RAPE, 2021 ,11
WANGAN,RAPE,2021,1
ULAS ,RAPE,2021,10
BAO JOAQUIN,Rape,2021,9
CABANTIAN,RAPE,2021,4
BANGKAS HEIGHTS,RAPE,2021,9
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",rape,2021,3
DALIAO,RAPE,2021,12
 BARANGAY 5-A (POB.)  ,RAPE,2021,5
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",Rape,2021,1
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",RAPE,2021,3
BARANGAY 2-A (POB.),RAPE,2021,6
MARILOG,RAPE,2021,2
BARANGAY 18-B,RAPE, 2021 ,1
TACUNAN,RAPE,2021,11
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",RAPE,2021,4
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",RAPE,2021,5
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2021,1
SALOY,ROBBERY,2021,10
SALAPAWAN,ROBBERY,2021,12
74-A (MATINA CROSSING),ROBBERY,2021,9
TORIL (POB.),ROBBERY,2021,3
MALAGOS,ROBBERY,2021,2
GUMALANG,robbery,2021,3
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",ROBBERY,2021,12
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",ROBBERY,2021,9
 MAGSAYSAY  ,ROBBERY,2021,9
TAPAK,ROBBERY,2021, 4 
SALOY,ROBBERY, 2021 ,11
BARANGAY 39-D (POB.),ROBBERY,2021,10
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",ROBBERY,2021,11
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",ROBBERY,2021,5
TACUNAN,ROBBERY,2021,11
WANGAN,ROBBERY,2021,4
 NEW VALENCIA  ,ROBBERY,2021,9
" MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)  ",ROBBERY,2021,11
PAMPANGA,ROBBERY,2021,1
BUNAWAN (POB.),robbery,2021,11
BARANGAY 14-B,ROBBERY,2021,11
40-D BOLTON ISLA,ROBBERY,2021,12
BAYABAS,ROBBERY,2021,7
 DALIAO  ,ROBBERY,2021,10
BAYABAS,ROBBERY,2021, 12 
BARANGAY 3-A (POB.),ROBBERY,2021,6
" BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)  ",ROBBERY,2021,7
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",ROBBERY,2021,12
 SALAPAWAN  ,ROBBERY,2021,12
BARANGAY 38-D (OB.),ROBBERY,2021,10
BUDA,ROBBERY,2021,11
ALFONSO ANGLIONGTO SR,ROBBERY,2021,12
LACSON,ROBBERY, 2021 ,1
 76-A (BUCANA)  ,robbery,2021,4
SALOY,ROBBERY,2021,11
MINTAL,ROBBERY,2021,8
SALAPAWAN,ROBBERY,2021,11
MALAGOS,ROBBERY,2021,4
MATINA PANGI,ROBBERY,2021,7
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",ROBBERY, 2021 ,5
BARANGAY 18-B,ROBBERY,2021,6
 BINUGAO  ,ROBBERY,2021,6
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",ROBBERY,2021,8
CAWAYAN,robbery,2021,10
 WANGAN  ,ROBBERY,2021,10
MALABOG,ROBBERY,2021,10
 RIVERSIDE  ,ROBBERY,2021,10
 WANGAN  ,ROBBERY,2021,4
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",THEFT,2021,8
SALOY,THEFT,2021,9
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2021,1
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",theft,2021,9
TAMAYONG,THEFT,2021,4
TIBUNGCO,THEFT,2021,5
BARANGAY 5-A (POB.),THEFT,2021,11
SUBASTA,THEFT,2021, 1 
BANTOL,THEFT,2021,10
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",THEFT,2021,8
MALAGOS,THEFT,2021, 8 
CARMEN,theft,2021, 9 
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2021,11
TUNGKALAN,THEFT,2021,5
MAPI-ILA,THEFT,2021,4
MALAGOS,Theft,2021,11
FATIMA (BENOWANG),theft,2021,9
BAYABAS,THEFT,2021,10
 LIZADA  ,THEFT,2021,1
TUGBOK (POB.),THEFT,2021,9
BUHANGIN (POB.),THEFT,2021,2
" SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)  ",THEFT,2021,3
LACSON,THEFT, 2021 ,4
MALAGOS,THEFT,2021,1
BAYABAS,THEFT, 2021 ,5
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",THEFT,2021,10
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",THEFT,2021,8
LIZADA,THEFT,2021,1
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",THEFT,2021,4
 BARANGAY 39-D (POB.)  ,THEFT,2021, 10 
" ACACIA (BRGY UNDER PS 13, DCPO)  ",THEFT,2021,10
BARANGAY 37-D,THEFT,2021,11
 ULAS   ,THEFT,2021,11
PAMPANGA,THEFT, 2021 ,12
BAO JOAQUIN,THEFT,2021,10
MAGSAYSAY,THEFT,2021, 8 
74-A (MATINA CROSSING),THEFT,2021,9
 MALABOG  ,THEFT, 2021 , 11 
MALABOG,theft,2021,9
BUDA,theft,2021,8
 CALINAN (POB.)  ,THEFT,2021,6
"MANDUG (BRGY UNDER PS 13, DCPO)",THEFT,2021,7
" PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)  ",THEFT,2021,10
LAMANAN,THEFT, 2021 ,1
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",THEFT,2021,6
BAGANIHAN,THEFT,2021,1
BARANGAY 2-A (POB.),theft,2021,10
"ACACIA (BRGY UNDER PS 13, DCPO)",theft,2021,12
76-A (BUCANA),THEFT,2021,10
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",THEFT,2021, 2 
 BARANGAY 23-C  ,theft,2021,9
 WINES  ,THEFT,2021,5
DALIAO,THEFT,2021,5
 BUDA  ,THEFT,2021,1
PAMPANGA,THEFT,2021,5
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",THEFT,2021,11
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",THEFT,2021,3
 BAGO OSHIRO  ,theft,2021,12
TUGBOK (POB.),THEFT, 2021 ,9
BARANGAY 5-A (POB.),THEFT,2021,4
MAHAYAG,THEFT, 2021 ,4
BUNAWAN (POB.),THEFT,2021,12
CAWAYAN,THEFT,2021,8
" PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)  ",THEFT,2021,10
BARANGAY 38-D (OB.),THEFT,2021,10
" MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)  ",THEFT,2021,10
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",theft,2021, 5 
COMMUNAL,THEFT,2021,7
BAO JOAQUIN,THEFT,2021,4
LUBOGAN,THEFT,2021, 10 
BUNAWAN (POB.),THEFT,2021,2
 BARANGAY 39-D (POB.)  ,THEFT,2021,2
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",theft,2021,11
SALAPAWAN,Theft,2021,4
MALABOG,THEFT, 2021 ,11
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",THEFT,2021,3
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",theft,2021,9
TAMUGAN,THEFT,2021,8
" CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)  ",THEFT, 2021 ,12
CARMEN,THEFT,2021, 10 
TIBUNGCO,THEFT,2021,6
BARANGAY 13-B,theft,2021,2
LUBOGAN,THEFT, 2021 ,4
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",theft,2021,12
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",THEFT,2021,4
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",THEFT,2021,5
BARANGAY 22-C,THEFT, 2021 ,9
74-A (MATINA CROSSING),THEFT, 2021 ,11
TACUNAN,theft,2021,7
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",THEFT,2021,12
" LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)  ",THEFT,2021,12
CATALUNAN GRANDE,THEFT,2021,11
 BARANGAY 32-D  ,THEFT,2021, 4 
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",CARNAPPING_MV,2021,8
SUAWAN (TULI),carnapping_mv,2021,3
TAMBOBONG,CARNAPPING_MC, 2021 ,3
MABUHAY,carnapping_mc,2021,12
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",CARNAPPING_MC,2021, 9 
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",CARNAPPING_MC,2021,9
BAGUIO PROPER,CARNAPPING_MC,2021,10
SALUMAY,CARNAPPING_MC,2021,6
 COMMUNAL  ,CARNAPPING_MC,2021, 4 
LIZADA,MURDER,2022,4
" BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)  ",MURDER,2022,8
BARANGAY 38-D (OB.),MURDER,2022,6
BARANGAY 14-B,MURDER,2022,12
ULAS ,MURDER,2022,2
LASANG,MURDER,2022,2
 MAGSAYSAY  ,MURDER,2022,3
CAWAYAN,MURDER,2022,11
TAMUGAN,MURDER,2022, 2 
CAWAYAN,MURDER, 2022 ,11
VICENTE HIZON SR.,MURDER,2022, 5 
 CATALUNAN GRANDE  ,MURDER,2022,11
BARANGAY 18-B,MURDER,2022,12
 PAMPANGA  ,MURDER,2022, 1 
 PAQUIBATO (POB.)  ,MURDER,2022,10
BUNAWAN (POB.),MURDER,2022,12
BARANGAY 39-D (POB.),MURDER,2022,7
TALOMO (POB.),MURDER,2022,6
BUDA,MURDER,2022,6
DALIAO,MURDER,2022,6
BARANGAY 28-C,MURDER,2022,4
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",murder,2022,8
MALABOG,MURDER,2022,8
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",MURDER,2022,7
WANGAN,MURDER,2022,4
CARMEN,MURDER,2022,9
NEW VALENCIA,MURDER,2022,7
 WANGAN  ,murder,2022,6
LUBOGAN,MURDER,2022,5
TUGBOK (POB.),MURDER, 2022 ,6
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",MURDER,2022,2
TACUNAN,MURDER,2022, 4 
 LUBOGAN  ,MURDER,2022,11
 BARANGAY 14-B  ,MURDER,2022,7
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",murder,2022,7
RIVERSIDE,Murder,2022,11
GUMALANG,MURDER,2022,3
