BARANGAY,CARNAPPING_MC,CARNAPPING_MV,COMPUTER-RELATED FRAUD,CYBER LIBEL,HOMICIDE,MURDER,ONLINE DOCUMENT FALSIFICATION,PHYSICAL INJURIES,RA 10175 VIOLATION,RA 9995 (PHOTO/VIDEO VOYEURISM),RAPE,ROBBERY,SWINDLING/ESTAFA (ONLINE),THEFT
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,1.0,5.0
MABUHAY,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0
MAGSAYSAY,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,7.0,3.0,0.0,4.0
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,2.0,1.0,8.0
MAHAYAG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,9.0,3.0,0.0,6.0
MALABOG,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,9.0
MALAGOS,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,1.0,6.0
"MANDUG (BRGY UNDER PS 13, DCPO)",0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,8.0
MAPI-ILA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,4.0,1.0,3.0
MARAPANGI,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,5.0
MARILOG,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,5.0
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,2.0,0.0,6.0
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0
MATINA PANGI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,4.0,0.0,4.0
MINTAL,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0
MULIG,2.0,0.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,2.0
NEW VALENCIA,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,5.0
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,7.0,3.0,0.0,7.0
PAMPANGA,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,13.0,3.0,0.0,9.0
PANACAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,4.0
PANALUM,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,5.0
PAQUIBATO (POB.),1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0
RIVERSIDE,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,3.0,2.0,0.0,5.0
SALAPAWAN,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,6.0,7.0,0.0,6.0
SALAYSAY,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,7.0
SALOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,4.0,1.0,8.0
SALUMAY,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,3.0
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,8.0,1.0,1.0,4.0
SAN ISIDRO,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,9.0,2.0,0.0,4.0
SANTO NINO,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0
SASA,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0
SIRIB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,4.0
SUAWAN (TULI),1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0
SUBASTA,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,5.0,1.0,1.0,9.0
TACUNAN,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,5.0,4.0,0.0,8.0
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,8.0
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,5.0
TALOMO (POB.),0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,4.0
TALOMO RIVER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,1.0,1.0,7.0
TAMAYONG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0,3.0,0.0,6.0
TAMBOBONG,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0,4.0
TAMUGAN,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,9.0
TAPAK,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,3.0
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,12.0
TIBUNGCO,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,3.0
TIGATTO,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,5.0
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",1.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,1.0,0.0,10.0,1.0,0.0,5.0
TORIL (POB.),0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0
TUGBOK (POB.),0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,5.0,2.0,0.0,4.0
TUNGKALAN,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,11.0,3.0,0.0,6.0
ULAS,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,6.0
VICENTE HIZON SR.,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,4.0
"WAAN (BRGY UNDER ps 13, DCPO)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,3.0
WANGAN,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,7.0
WINES,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,9.0
