GU,Date,offense,Count
ILANG,2020-03-01,ILLEGAL GAMBLING,17
BARANGAY 5-A,2020-03-01,ILLEGAL GAMBLING,10
CENTRO SAN JUAN,2020-03-01,DRUG-RELATED,17
WAAN,2020-03-01,HOMICIDE,12
SAN ISIDRO,2020-03-01,MURDER,23
BARANGAY 3-A,2020-03-01,ILLEGAL GAMBLING,7
BARANGAY 19-B,2020-03-01,ROBBERY,1
BARANGAY 27-C,2020-03-01,ILLEGAL GAMBLING,10
LACSON,2020-03-01,CARNAPPING,17
SUAWAN,2020-03-01,HOMICIDE,9
SASA,2020-03-01,DRUG-RELATED,2
MARAPANGI,2020-03-01,BURGLARY,21
TALOMO RIVER,2020-03-01,ILLEGAL GAMBLING,17
LUBOGAN,2020-03-01,ILLEGAL POSSESSION OF FIREARMS,7
BINUGAO,2020-03-01,CHILD ABUSE,23
DALIAO,2020-03-01,PHYSICAL INJURY,19
DALIAO,2020-03-01,VANDALISM,10
CALINAN,2020-03-01,HOMICIDE,8
40-D BOLTON ISLA,2020-03-01,ROBBERY,10
MAGSAYSAY,2020-03-01,ILLEGAL GAMBLING,9
TAMUGAN,2020-03-01,ROBBERY,24
SAN ISIDRO,2020-03-01,MURDER,11
LOS AMIGOS,2020-03-01,CHILD ABUSE,8
NEW VALENCIA,2020-03-01,ILLEGAL GAMBLING,11
CATALUNAN PEQUENO,2020-03-01,VANDALISM,14
MAGTUOD,2020-03-01,PHYSICAL INJURY,1
VICENTE HIZON,2020-03-01,ILLEGAL POSSESSION OF FIREARMS,21
MINTAL,2020-03-01,PHYSICAL INJURY,9
40-D BOLTON ISLA,2020-03-01,RAPE,12
MAHAYAG,2020-03-01,RAPE,8
RIVERSIDE,2020-03-01,CARNAPPING,3
PANACAN,2020-03-01,MURDER,11
PACIANO BANGOY,2020-03-01,ILLEGAL POSSESSION OF FIREARMS,5
DALIAO,2020-03-01,DRUG-RELATED,19
RIVERSIDE,2020-03-01,DRUG-RELATED,10
MAA,2020-03-01,MURDER,21
BARANGAY 28-C,2020-03-01,ILLEGAL POSSESSION OF FIREARMS,1
TALANDANG,2020-03-01,CHILD ABUSE,6
ALAMBRE,2020-03-01,MURDER,5
GUMITAN,2020-03-01,PHYSICAL INJURY,12
MANDUG,2020-03-01,PHYSICAL INJURY,16
TAMUGAN,2020-03-01,VANDALISM,8
BINUGAO,2020-03-01,PHYSICAL INJURY,5
BARANGAY 2-A,2020-03-01,ILLEGAL GAMBLING,5
ANGALAN,2020-03-01,RAPE,23
CAWAYAN,2020-03-01,BURGLARY,17
ANGALAN,2020-03-01,HOMICIDE,21
TAMBOBONG,2020-03-01,PHYSICAL INJURY,18
MANUEL GUIANGA,2020-03-01,BURGLARY,2
MALABOG,2020-03-01,THEFT,22
WINES,2020-03-01,CHILD ABUSE,3
BARANGAY 37-D,2020-03-01,ILLEGAL GAMBLING,2
CATALUNAN PEQUENO,2020-03-01,RAPE,3
BARANGAY 20-B,2020-03-01,BURGLARY,1
MINTAL,2020-03-01,ILLEGAL GAMBLING,24
MABUHAY,2020-03-01,CHILD ABUSE,5
SALAYSAY,2020-03-01,THEFT,15
ANGALAN,2020-03-01,DRUG-RELATED,21
DUTERTE,2020-03-01,PHYSICAL INJURY,9
TIBULOY,2020-03-01,RAPE,20
TUGBOK,2020-03-01,HOMICIDE,24
PAMPANGA,2020-03-01,BURGLARY,3
MULIG,2020-03-01,ILLEGAL POSSESSION OF FIREARMS,3
PAQUIBATO,2020-04-01,ILLEGAL POSSESSION OF FIREARMS,21
BANTOL,2020-04-01,RAPE,15
TACUNAN,2020-04-01,ROBBERY,3
PAMPANGA,2020-04-01,THEFT,11
BARANGAY 8-A,2020-04-01,MURDER,10
BARANGAY 38-D,2020-04-01,ILLEGAL POSSESSION OF FIREARMS,24
DUMOY,2020-04-01,PHYSICAL INJURY,22
BARANGAY 17-B,2020-04-01,ILLEGAL GAMBLING,22
SIRIB,2020-04-01,BURGLARY,5
PACIANO BANGOY,2020-04-01,ILLEGAL GAMBLING,13
BARANGAY 19-B,2020-04-01,BURGLARY,3
BARANGAY 32-D,2020-04-01,DRUG-RELATED,17
TIBULOY,2020-04-01,MURDER,23
GUMITAN,2020-04-01,RAPE,13
SANTO NINO,2020-04-01,CARNAPPING,15
LAMANAN,2020-04-01,ILLEGAL POSSESSION OF FIREARMS,16
BARANGAY 10-A,2020-04-01,ROBBERY,10
MALABOG,2020-04-01,BURGLARY,8
LUBOGAN,2020-04-01,THEFT,9
PAMPANGA,2020-04-01,ILLEGAL POSSESSION OF FIREARMS,8
PANALUM,2020-04-01,VANDALISM,20
BARANGAY 5-A,2020-04-01,ILLEGAL POSSESSION OF FIREARMS,5
INDANGAN,2020-04-01,ILLEGAL POSSESSION OF FIREARMS,24
BUHANGIN,2020-04-01,ILLEGAL GAMBLING,22
BARANGAY 2-A,2020-04-01,ILLEGAL POSSESSION OF FIREARMS,11
BALENGAENG,2020-04-01,ILLEGAL GAMBLING,17
MANDUG,2020-04-01,DRUG-RELATED,12
LASANG,2020-04-01,HOMICIDE,21
MANUEL GUIANGA,2020-04-01,CHILD ABUSE,21
CATIGAN,2020-04-01,CHILD ABUSE,11
TIBUNGCO,2020-04-01,CHILD ABUSE,17
76-A BUCANA,2020-04-01,DRUG-RELATED,12
LACSON,2020-04-01,ILLEGAL POSSESSION OF FIREARMS,5
LOS AMIGOS,2020-04-01,BURGLARY,17
MINTAL,2020-04-01,VANDALISM,3
LASANG,2020-04-01,THEFT,4
MALAGOS,2020-04-01,MURDER,7
BARANGAY 14-B,2020-04-01,CHILD ABUSE,7
40-D BOLTON ISLA,2020-04-01,BURGLARY,2
MINTAL,2020-04-01,PHYSICAL INJURY,18
BINUGAO,2020-04-01,BURGLARY,14
BAO ESCUELA,2020-04-01,BURGLARY,10
TALANDANG,2020-04-01,CHILD ABUSE,24
76-A BUCANA,2020-04-01,ILLEGAL POSSESSION OF FIREARMS,9
BARANGAY 19-B,2020-04-01,BURGLARY,2
TOMAS MONTEVERDE,2020-04-01,CHILD ABUSE,7
AQUINO,2020-04-01,CARNAPPING,7
FATIMA,2020-04-01,DRUG-RELATED,1
BARANGAY 38-D,2020-04-01,MURDER,17
FATIMA,2020-04-01,ILLEGAL GAMBLING,15
TAMAYONG,2020-04-01,DRUG-RELATED,21
TALANDANG,2020-04-01,MURDER,8
MABUHAY,2020-04-01,ILLEGAL GAMBLING,1
DUTERTE,2020-04-01,HOMICIDE,18
SALAPAWAN,2020-04-01,VANDALISM,1
SALUMAY,2020-04-01,ILLEGAL GAMBLING,24
BARANGAY 38-D,2020-04-01,ROBBERY,2
MALABOG,2020-04-01,MURDER,9
BARANGAY 18-B,2020-04-01,CARNAPPING,23
BARANGAY 2-A,2020-04-01,ROBBERY,2
LIZADA,2020-04-01,BURGLARY,14
BARANGAY 18-B,2020-04-01,DRUG-RELATED,3
TALOMO,2020-04-01,THEFT,9
CALINAN,2020-04-01,THEFT,8
GUMITAN,2020-04-01,MURDER,8
ALFONSO ANGLIONGTO SR,2020-04-01,VANDALISM,2
TUGBOK,2020-04-01,ILLEGAL GAMBLING,5
TAMAYONG,2020-04-01,MURDER,1
LOS AMIGOS,2020-04-01,ILLEGAL GAMBLING,10
PACIANO BANGOY,2020-04-01,ILLEGAL GAMBLING,19
TALANDANG,2020-05-01,ILLEGAL GAMBLING,19
SALUMAY,2020-05-01,CARNAPPING,4
NEW VALENCIA,2020-05-01,CARNAPPING,8
BAGO GALLERA,2020-05-01,RAPE,24
MULIG,2020-05-01,THEFT,1
BARANGAY 23-C,2020-05-01,ROBBERY,9
COMMUNAL,2020-05-01,ILLEGAL GAMBLING,1
MARILOG,2020-05-01,THEFT,5
CABANTIAN,2020-05-01,HOMICIDE,24
TUGBOK,2020-05-01,BURGLARY,4
SALAPAWAN,2020-05-01,PHYSICAL INJURY,14
BARANGAY 3-A,2020-05-01,PHYSICAL INJURY,6
BANTOL,2020-05-01,ROBBERY,8
CATALUNAN PEQUENO,2020-05-01,HOMICIDE,12
MAPI-ILA,2020-05-01,PHYSICAL INJURY,1
BAGO APLAYA,2020-05-01,ILLEGAL GAMBLING,16
SAN ISIDRO,2020-05-01,THEFT,9
TOMAS MONTEVERDE,2020-05-01,ILLEGAL POSSESSION OF FIREARMS,8
BARANGAY 20-B,2020-05-01,ILLEGAL GAMBLING,8
LAPU-LAPU,2020-05-01,DRUG-RELATED,23
GUMITAN,2020-05-01,DRUG-RELATED,12
DALIAO,2020-05-01,HOMICIDE,22
TAMUGAN,2020-05-01,DRUG-RELATED,9
TIBUNGCO,2020-05-01,HOMICIDE,2
SASA,2020-05-01,ROBBERY,2
TUGBOK,2020-05-01,ROBBERY,10
76-A BUCANA,2020-05-01,PHYSICAL INJURY,2
PACIANO BANGOY,2020-05-01,PHYSICAL INJURY,9
TACUNAN,2020-05-01,ILLEGAL POSSESSION OF FIREARMS,3
BARANGAY 5-A,2020-05-01,BURGLARY,15
MINTAL,2020-05-01,THEFT,16
GUMITAN,2020-05-01,THEFT,15
BARANGAY 22-C,2020-05-01,CARNAPPING,2
BANTOL,2020-05-01,THEFT,10
LASANG,2020-05-01,ILLEGAL GAMBLING,12
SALAPAWAN,2020-05-01,BURGLARY,3
40-D BOLTON ISLA,2020-05-01,PHYSICAL INJURY,1
MARILOG,2020-05-01,HOMICIDE,13
PAMPANGA,2020-05-01,CHILD ABUSE,3
MARILOG,2020-05-01,CARNAPPING,11
AQUINO,2020-05-01,RAPE,4
TUNGKALAN,2020-05-01,MURDER,9
SALAYSAY,2020-05-01,DRUG-RELATED,15
BAGO APLAYA,2020-05-01,DRUG-RELATED,1
PAQUIBATO,2020-05-01,THEFT,15
TALOMO,2020-05-01,VANDALISM,23
SAN ANTONIO,2020-05-01,VANDALISM,5
SALUMAY,2020-05-01,ROBBERY,9
ACACIA,2020-05-01,DRUG-RELATED,1
MANUEL GUIANGA,2020-05-01,VANDALISM,6
SANTO NINO,2020-05-01,RAPE,5
MAGTUOD,2020-05-01,THEFT,20
SUBASTA,2020-05-01,THEFT,21
WAAN,2020-05-01,HOMICIDE,8
SALAPAWAN,2020-05-01,THEFT,8
BAGUIO PROPER,2020-05-01,CHILD ABUSE,17
SUAWAN,2020-05-01,CARNAPPING,6
40-D BOLTON ISLA,2020-05-01,DRUG-RELATED,23
SUAWAN,2020-05-01,THEFT,14
ILANG,2020-05-01,CHILD ABUSE,11
SIRIB,2020-05-01,DRUG-RELATED,12
BARANGAY 8-A,2020-05-01,THEFT,11
BAGANIHAN,2020-05-01,ILLEGAL POSSESSION OF FIREARMS,8
TAGURANO,2020-05-01,MURDER,4
MATINA CROSSING,2020-05-01,MURDER,13
DUTERTE,2020-05-01,PHYSICAL INJURY,20
SAN ANTONIO,2020-05-01,CHILD ABUSE,5
BARANGAY 17-B,2020-05-01,ILLEGAL GAMBLING,2
NEW VALENCIA,2020-05-01,CHILD ABUSE,24
TUNGKALAN,2020-05-01,MURDER,16
TIBUNGCO,2020-06-01,PHYSICAL INJURY,13
MAGTUOD,2020-06-01,ROBBERY,15
SANTO NINO,2020-06-01,CHILD ABUSE,4
CAWAYAN,2020-06-01,ILLEGAL GAMBLING,16
MATINA CROSSING,2020-06-01,ILLEGAL POSSESSION OF FIREARMS,20
EDEN,2020-06-01,ROBBERY,22
LASANG,2020-06-01,ILLEGAL POSSESSION OF FIREARMS,4
BARANGAY 22-C,2020-06-01,PHYSICAL INJURY,24
TIGATTO,2020-06-01,VANDALISM,5
BARANGAY 8-A,2020-06-01,VANDALISM,4
BARANGAY 22-C,2020-06-01,DRUG-RELATED,13
SUBASTA,2020-06-01,BURGLARY,10
BAGO APLAYA,2020-06-01,ILLEGAL POSSESSION OF FIREARMS,22
SANTO NINO,2020-06-01,RAPE,20
BARANGAY 22-C,2020-06-01,RAPE,12
TOMAS MONTEVERDE,2020-06-01,CARNAPPING,14
CATALUNAN GRANDE,2020-06-01,ILLEGAL POSSESSION OF FIREARMS,23
CATALUNAN PEQUENO,2020-06-01,ILLEGAL GAMBLING,10
SASA,2020-06-01,ILLEGAL GAMBLING,10
BAGUIO PROPER,2020-06-01,MURDER,22
MAGTUOD,2020-06-01,CARNAPPING,7
TIBULOY,2020-06-01,ROBBERY,11
MATINA APLAYA,2020-06-01,VANDALISM,3
LUBOGAN,2020-06-01,CARNAPPING,4
CATALUNAN PEQUENO,2020-06-01,MURDER,18
TACUNAN,2020-06-01,ILLEGAL GAMBLING,14
BARANGAY 3-A,2020-06-01,DRUG-RELATED,12
MAHAYAG,2020-06-01,ROBBERY,6
SAN ISIDRO,2020-06-01,PHYSICAL INJURY,21
BALENGAENG,2020-06-01,ILLEGAL GAMBLING,7
BARANGAY 11-A,2020-06-01,CHILD ABUSE,15
MINTAL,2020-06-01,HOMICIDE,13
RIVERSIDE,2020-06-01,CARNAPPING,5
PACIANO BANGOY,2020-06-01,ILLEGAL POSSESSION OF FIREARMS,16
CATIGAN,2020-06-01,ROBBERY,15
DUMOY,2020-06-01,THEFT,8
BARANGAY 32-D,2020-06-01,HOMICIDE,9
BARANGAY 11-A,2020-06-01,DRUG-RELATED,15
SALUMAY,2020-06-01,ILLEGAL GAMBLING,12
MINTAL,2020-06-01,ROBBERY,19
DALIAO,2020-06-01,DRUG-RELATED,11
CATALUNAN PEQUENO,2020-06-01,CHILD ABUSE,13
BARANGAY 32-D,2020-06-01,VANDALISM,2
BARANGAY 10-A,2020-06-01,DRUG-RELATED,11
BARANGAY 19-B,2020-06-01,MURDER,18
BAGUIO PROPER,2020-06-01,ILLEGAL GAMBLING,21
BARANGAY 11-A,2020-06-01,CARNAPPING,16
74-A MATINA CROSSING,2020-06-01,VANDALISM,2
CARMEN,2020-06-01,ILLEGAL GAMBLING,22
ULAS,2020-06-01,RAPE,20
PANALUM,2020-06-01,ROBBERY,10
BUDA,2020-06-01,ILLEGAL POSSESSION OF FIREARMS,3
BARANGAY 27-C,2020-06-01,RAPE,20
BARANGAY 5-A,2020-06-01,ILLEGAL POSSESSION OF FIREARMS,21
DUTERTE,2020-06-01,ILLEGAL POSSESSION OF FIREARMS,8
CATALUNAN GRANDE,2020-06-01,BURGLARY,14
LOS AMIGOS,2020-06-01,ILLEGAL POSSESSION OF FIREARMS,6
LIZADA,2020-06-01,RAPE,21
MANUEL GUIANGA,2020-06-01,ROBBERY,21
SALAYSAY,2020-06-01,PHYSICAL INJURY,23
CATIGAN,2020-06-01,CHILD ABUSE,3
ALFONSO ANGLIONGTO SR,2020-06-01,ROBBERY,24
MANDUG,2020-06-01,CARNAPPING,19
BARANGAY 27-C,2020-06-01,RAPE,2
SASA,2020-06-01,CARNAPPING,4
BARANGAY 8-A,2020-06-01,ROBBERY,19
BALENGAENG,2020-06-01,PHYSICAL INJURY,20
BANTOL,2020-06-01,CARNAPPING,22
ULAS,2020-06-01,RAPE,20
SIRIB,2020-06-01,MURDER,14
ACACIA,2020-07-01,DRUG-RELATED,10
BALENGAENG,2020-07-01,ILLEGAL GAMBLING,16
BAYABAS,2020-07-01,ROBBERY,17
SANTO NINO,2020-07-01,ROBBERY,24
PANALUM,2020-07-01,MURDER,18
MAGTUOD,2020-07-01,BURGLARY,5
74-A MATINA CROSSING,2020-07-01,RAPE,24
BARANGAY 10-A,2020-07-01,RAPE,6
SALAYSAY,2020-07-01,VANDALISM,15
INDANGAN,2020-07-01,BURGLARY,8
VICENTE HIZON,2020-07-01,HOMICIDE,7
CATIGAN,2020-07-01,CHILD ABUSE,10
CATALUNAN GRANDE,2020-07-01,ROBBERY,19
WANGAN,2020-07-01,HOMICIDE,13
BARANGAY 8-A,2020-07-01,MURDER,13
DUTERTE,2020-07-01,DRUG-RELATED,22
BARANGAY 28-C,2020-07-01,HOMICIDE,10
BAO ESCUELA,2020-07-01,DRUG-RELATED,17
BARANGAY 19-B,2020-07-01,HOMICIDE,7
BARANGAY 23-C,2020-07-01,ROBBERY,19
40-D BOLTON ISLA,2020-07-01,ROBBERY,5
TAMUGAN,2020-07-01,CARNAPPING,6
BARANGAY 8-A,2020-07-01,RAPE,16
MANUEL GUIANGA,2020-07-01,PHYSICAL INJURY,3
DUTERTE,2020-07-01,DRUG-RELATED,4
SANTO NINO,2020-07-01,BURGLARY,24
LAPU-LAPU,2020-07-01,VANDALISM,9
BARANGAY 2-A,2020-07-01,PHYSICAL INJURY,6
CAWAYAN,2020-07-01,HOMICIDE,24
BARANGAY 22-C,2020-07-01,VANDALISM,15
PANACAN,2020-07-01,VANDALISM,5
TIBUNGCO,2020-07-01,ILLEGAL POSSESSION OF FIREARMS,16
LAPU-LAPU,2020-07-01,VANDALISM,17
BARANGAY 26-C,2020-07-01,PHYSICAL INJURY,7
LUBOGAN,2020-07-01,MURDER,6
BARANGAY 13-B,2020-07-01,CHILD ABUSE,4
BARANGAY 22-C,2020-07-01,RAPE,16
SALAPAWAN,2020-07-01,MURDER,12
BUNAWAN,2020-07-01,ILLEGAL GAMBLING,6
LAPU-LAPU,2020-07-01,CARNAPPING,19
BAGANIHAN,2020-07-01,DRUG-RELATED,13
LACSON,2020-07-01,THEFT,17
BARANGAY 17-B,2020-07-01,HOMICIDE,14
ALAMBRE,2020-07-01,THEFT,20
BALIOK,2020-07-01,HOMICIDE,2
40-D BOLTON ISLA,2020-07-01,CARNAPPING,16
ANGALAN,2020-07-01,RAPE,4
BARANGAY 38-D,2020-07-01,BURGLARY,13
BARANGAY 5-A,2020-07-01,VANDALISM,23
MATINA APLAYA,2020-07-01,MURDER,24
PAMPANGA,2020-07-01,CARNAPPING,5
MANUEL GUIANGA,2020-07-01,BURGLARY,6
CALINAN,2020-07-01,CARNAPPING,22
MULIG,2020-07-01,CARNAPPING,11
MATINA CROSSING,2020-07-01,THEFT,4
LAPU-LAPU,2020-07-01,ROBBERY,23
MANUEL GUIANGA,2020-07-01,CARNAPPING,13
BARANGAY 9-A,2020-07-01,CHILD ABUSE,15
TUNGKALAN,2020-07-01,MURDER,17
MATINA PANGI,2020-07-01,RAPE,11
BARANGAY 19-B,2020-07-01,CARNAPPING,10
TALOMO RIVER,2020-07-01,ROBBERY,11
DUMOY,2020-07-01,ILLEGAL POSSESSION OF FIREARMS,22
BARANGAY 37-D,2020-07-01,VANDALISM,8
TUNGKALAN,2020-07-01,THEFT,8
TALANDANG,2020-07-01,DRUG-RELATED,5
RIVERSIDE,2020-07-01,CARNAPPING,6
CATIGAN,2020-07-01,VANDALISM,14
BANTOL,2020-07-01,BURGLARY,9
TAPAK,2020-07-01,BURGLARY,2
ACACIA,2020-08-01,HOMICIDE,9
BARANGAY 3-A,2020-08-01,MURDER,6
TIBULOY,2020-08-01,THEFT,13
CATALUNAN GRANDE,2020-08-01,PHYSICAL INJURY,20
BARANGAY 5-A,2020-08-01,CARNAPPING,10
TUNGKALAN,2020-08-01,PHYSICAL INJURY,11
BARANGAY 37-D,2020-08-01,ILLEGAL POSSESSION OF FIREARMS,15
TORIL,2020-08-01,CHILD ABUSE,4
MANDUG,2020-08-01,DRUG-RELATED,15
LASANG,2020-08-01,PHYSICAL INJURY,23
BAGUIO PROPER,2020-08-01,RAPE,1
AQUINO,2020-08-01,BURGLARY,18
WAAN,2020-08-01,PHYSICAL INJURY,21
RIVERSIDE,2020-08-01,PHYSICAL INJURY,3
DALIAO,2020-08-01,HOMICIDE,13
BAGO OSHIRO,2020-08-01,ILLEGAL GAMBLING,2
MATINA CROSSING,2020-08-01,ROBBERY,10
BINUGAO,2020-08-01,BURGLARY,24
CABANTIAN,2020-08-01,PHYSICAL INJURY,14
MARAPANGI,2020-08-01,PHYSICAL INJURY,19
SALAYSAY,2020-08-01,PHYSICAL INJURY,3
BARANGAY 13-B,2020-08-01,CARNAPPING,8
